TeensyMonitorV5-top-pos
Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1,805,73.152000,-43.434000,180.000000,top
C21,10uf,C_0805_2012Metric,137.160000,-41.656000,0.000000,top
C22,10uf,C_0805_2012Metric,140.970000,-41.910000,180.000000,top
C23,10uf,C_0805_2012Metric,137.160000,-75.438000,0.000000,top
C24,10uf,C_0805_2012Metric,141.224000,-75.438000,180.000000,top
Q21,BSS138,SOT-23,141.224000,-49.276000,270.000000,top
Q22,BSS138,SOT-23,137.160000,-49.276000,270.000000,top
Q23,BSS138,SOT-23,141.224000,-56.896000,270.000000,top
Q24,BSS138,SOT-23,137.226000,-56.880000,270.000000,top
Q25,BSS138,SOT-23,141.224000,-64.516000,270.000000,top
Q26,BSS138,SOT-23,137.160000,-64.500000,270.000000,top
Q27,BSS138,SOT-23,141.224000,-72.136000,270.000000,top
Q28,BSS138,SOT-23,137.160000,-72.136000,270.000000,top
Q40,BSS138,SOT-23,78.740000,-77.216000,0.000000,top
Q41,BSS138,SOT-23,83.328000,-77.216000,0.000000,top
Q42,BSS138,SOT-23,87.884000,-77.216000,0.000000,top
Q43,BSS138,SOT-23,91.964000,-77.216000,0.000000,top
Q44,BSS138,SOT-23,96.028000,-77.216000,0.000000,top
Q45,BSS138,SOT-23,100.092000,-77.216000,0.000000,top
Q46,BSS138,SOT-23,104.140000,-77.216000,0.000000,top
Q47,BSS138,SOT-23,108.220000,-77.216000,0.000000,top
R1,10K,R_0603_1608Metric,141.224000,-44.704000,0.000000,top
R2,10K,R_0603_1608Metric,141.224000,-46.228000,180.000000,top
R3,10K,R_0603_1608Metric,137.160000,-44.704000,0.000000,top
R4,10K,R_0603_1608Metric,137.160000,-46.228000,180.000000,top
R5,10K,R_0603_1608Metric,141.224000,-52.324000,0.000000,top
R6,10K,R_0603_1608Metric,141.224000,-53.848000,180.000000,top
R7,10K,R_0603_1608Metric,137.160000,-52.324000,0.000000,top
R8,10K,R_0603_1608Metric,137.160000,-53.848000,180.000000,top
R9,10K,R_0603_1608Metric,141.161000,-59.944000,0.000000,top
R10,10K,R_0603_1608Metric,141.161000,-61.468000,180.000000,top
R11,10K,R_0603_1608Metric,137.160000,-59.944000,0.000000,top
R12,10K,R_0603_1608Metric,137.160000,-61.468000,180.000000,top
R13,10K,R_0603_1608Metric,141.224000,-67.564000,0.000000,top
R14,10K,R_0603_1608Metric,141.224000,-69.088000,180.000000,top
R15,10K,R_0603_1608Metric,137.097000,-67.564000,0.000000,top
R16,10K,R_0603_1608Metric,137.097000,-69.088000,180.000000,top
R17,R,R_0805_2012Metric,106.680000,-54.356000,270.000000,top
R30,3K,R_0603_1608Metric,78.740000,-50.800000,90.000000,top
R31,3K,R_0603_1608Metric,81.280000,-50.800000,90.000000,top
R51,100,R_0603_1608Metric,100.584000,-65.278000,0.000000,top
RN31,3K,R_Array_Convex_4x0603,102.108000,-37.084000,90,top
RN32,3K,R_Array_Convex_4x0603,102.108000,-40.964000,90,top
RN33,3K,R_Array_Convex_4x0603,118.872000,-41.148000,90,top
RN34,3K,R_Array_Convex_4x0603,118.872000,-37.084000,90,top
U31,TCA9548APWR,TSSOP-24_4.4x7.8mm_P0.65mm,110.236000,-38.608000,270,top
